Title,Author,Publish Date,Keywords,URL,First Name,Gender
Unpacking the struggle: Insights from NAASR panel discussion on social justice in Armenia,Lenna Garibian,2024-05-21,"discussion, womens, panel, unpacking, insights, justice, naasr, support, struggle, violence, movements, armenia, domestic, war, social",https://armenianweekly.com/2024/05/21/unpacking-the-struggle-insights-from-naasr-panel-discussion-on-social-justice-in-armenia/,Lenna,female
Providence ARS “Ani” Chapter hosts “Hye Tea”,Linda Kamajian,2024-05-07,"chapter, womens, abuse, providence, women, support, wsc, yerevan, center, jilozian, ani, hosts, armenia, domestic, hye, tea, ars",https://armenianweekly.com/2024/05/07/providence-ars-ani-chapter-hosts-hye-tea/,Linda,female
Maggy Madarentz receives the Hamazkayin Medal,Taline Mkrtschjan,2024-04-30,"providence, artsakh, maggy, lebanon, executive, medal, armenian, kechichian, communities, armenia, madarentz, hamazkayin, receives",https://armenianweekly.com/2024/04/30/maggy-madarentz-receives-the-hamazkayin-medal/,Taline,female
Girl Scout highlights history and community impact of St. Gregory Church,Sophia Minassian,2024-04-30,"scout, girl, gregory, armenians, website, armenian, history, impact, church, highlights, community, springfield, st, important",https://armenianweekly.com/2024/04/30/girl-scout-highlights-history-and-community-impact-of-st-gregory-church/,Sophia,female
Rhode Island Wind Ensemble’s “Echoes of Ararat” concert a resounding success,Pauline Getzoyan,2024-04-18,"wind, ararat, piece, musicians, success, resounding, dr, music, armenian, ensembles, concert, franzblau, island, rhode, echoes, kalajian, ensemble",https://armenianweekly.com/2024/04/18/rhode-island-wind-ensembles-echoes-of-ararat-concert-a-resounding-success/,Pauline,female
“Remembrances” with Bedo Demirdjian in Providence,Pauline Getzoyan,2024-04-09,"translation, tehlirians, providence, talaat, dont, bedo, book, armenian, demirdjian, armenia, tehlirian, remembrances, memoir",https://armenianweekly.com/2024/04/09/remembrances-with-bedo-demirdjian-in-providence/,Pauline,female
"A.I., genocide denial and Rhode Island’s genocide educator of the year",Pauline Getzoyan,2024-04-03,"educator, xiarhos, denial, students, historical, armenian, islands, holocaust, ai, rhode, genocide, ri, dr",https://armenianweekly.com/2024/04/03/a-i-genocide-denial-and-rhode-islands-genocide-educator-of-the-year/,Pauline,female
Chris Bohjalian captivates full house at An Unlikely Story,Victoria Atamian Waterman,2024-04-02,"bohjalian, chris, series, book, princess, armenian, las, captivates, bohjalians, house, unlikely, genocide, vegas, readers",https://armenianweekly.com/2024/04/02/chris-bohjalian-captivates-full-house-at-an-unlikely-story/,Victoria,female
Armenia on the path to becoming a global leader in artificial intelligence,Lillian Avedian,2024-03-27,"innovation, path, program, fast, global, technology, shamakhyan, educational, leader, artificial, armenia, women, ai, intelligence, science",https://armenianweekly.com/2024/03/27/armenia-on-the-path-to-becoming-a-global-leader-in-artificial-intelligence/,Lillian,female
ARS Bergen County “Armenouhi” Chapter Celebrates 100 Years,Arev Dinkjian,2024-03-06,"chapter, bergen, 100, celebrates, armenian, incredible, county, armenouhi, members, women, ways, ars",https://armenianweekly.com/2024/03/06/ars-bergen-county-armenouhi-chapter-celebrates-100-years/,Arev,female
Empowering Voices: Reflections on the New York Armenian Community Town Hall with Gev Iskajyan,Mari Bijimenian,2024-02-28,"artsakh, served, reflections, gev, nation, town, voices, armenian, community, york, empowering, iskajyan, hall, western",https://armenianweekly.com/2024/02/28/empowering-voices-reflections-on-the-new-york-armenian-community-town-hall-with-gev-iskajyan/,Mari,female
I made jingalov hats for the first time,Carolina Gazal,2024-01-23,"dough, greens, recipe, hats, making, dish, jingalov, fresh, oil, artsakh",https://armenianweekly.com/2024/01/23/i-made-jingalov-hats-for-the-first-time/,Carolina,female
"Washington, D.C. marks AYF 90th anniversary with a focus on service to community and homeland",Anie Shahnazarian,2023-12-19,"chapter, service, offered, dc, homeland, ayf, armenian, sevan, 90th, armenia, youth, marks, ongoing, community, anniversary, washington, focus, attendees",https://armenianweekly.com/2023/12/19/washington-d-c-marks-ayf-90th-anniversary-with-a-focus-on-service-to-community-and-homeland/,Anie,female
Club 27: A Fitting Farewell,Arev Dinkjian,2023-12-12,"stage, tell, farewell, dance, aunt, club, uncle, music, 27, theres, onnik, fitting",https://armenianweekly.com/2023/12/12/club-27-a-fitting-farewell/,Arev,female
A field trip in Rhode Island connects students to Armenian history and culture,Pauline Getzoyan,2023-12-05,"students, armenians, armenian, history, culture, museum, island, trip, field, monument, experience, connects, opportunity, rhode, genocide",https://armenianweekly.com/2023/12/05/a-field-trip-in-rhode-island-connects-students-to-armenian-history-and-culture/,Pauline,female
"Providence raises nearly $40,000 at “Together for Artsakh”",Pauline Getzoyan,2023-11-21,"40000, providence, evening, armenians, armenian, members, raises, mkrtschjan, armenia, nearly, artsakh, ayf, ars",https://armenianweekly.com/2023/11/21/providence-raises-nearly-40000-at-together-for-artsakh/,Pauline,female
Honoring Armenian American Veterans of Rhode Island,Pauline Getzoyan,2023-11-15,"world, service, american, veterans, armenian, veteran, island, memorial, honoring, monument, war, rhode, zorabedian",https://armenianweekly.com/2023/11/15/honoring-armenian-american-veterans-of-rhode-island/,Pauline,female
"Sts. Vartanantz Church community raises more than $20,000 for displaced families of Artsakh",Pauline Getzoyan,2023-11-01,"families, artsakh, sts, charitable, eminence, attarian, raises, community, church, message, vartanantz, fr, displaced, tanielian, god, 20000",https://armenianweekly.com/2023/11/01/sts-vartanantz-church-community-raises-more-than-20000-for-displaced-families-of-artsakh/,Pauline,female
Caucasus Heritage Watch: Keeping an Eye on Cultural Genocide,Knar Bedian,2023-10-18,"work, team, keeping, dr, azerbaijani, watch, heritage, cultural, armenian, sites, caucasus, eye, land, genocide, chw",https://armenianweekly.com/2023/10/18/caucasus-heritage-watch-keeping-an-eye-on-cultural-genocide/,Knar,female
Director Michael Goorjian presents story of hope and resilience in “Amerikatsi”,Linda Berberian,2023-09-20,"director, screening, hope, told, amerikatsi, presents, film, armenians, armenian, resilience, life, history, armenia, goorjian, michael, soviet",https://armenianweekly.com/2023/09/20/director-michael-goorjian-presents-story-of-hope-and-resilience-in-amerikatsi/,Linda,female
"Mer Hooys, the house of hope",Vani Hanamirian,2023-09-06,"living, hooys, girls, hope, program, mer, education, graduates, krikorian, armenian, care, house",https://armenianweekly.com/2023/09/06/mer-hooys-the-house-of-hope/,Vani,female
Narine Tokatlian-Maltez makes her mark on the world stage,Tamar Kassarjian,2023-08-23,"stage, world, makes, tokatlianmaltez, florida, journey, narines, age, players, golf, passion, mark, young, narine",https://armenianweekly.com/2023/08/23/narine-tokatlian-maltez-makes-a-mark-on-the-world-stage/,Tamar,female
Lemonade for Humanitarian Aid,Pauline Getzoyan,2023-08-16,"lemonade, need, decided, aid, money, armenian, supplies, thought, markarian, burke, help, humanitarian",https://armenianweekly.com/2023/08/16/lemonade-for-humanitarian-aid/,Pauline,female
AHARI exhibits to be featured during Gallery Night Providence,Pauline Getzoyan,2023-08-03,"reports, providence, exhibit, exhibits, ri, tour, armenian, night, ahari, featured, ner, genocide, gallery",https://armenianweekly.com/2023/08/03/ahari-exhibits-to-be-featured-during-gallery-night-providence/,Pauline,female
House of Lavash brings an Armenian staple to Belmont,Alexandra O'Neil,2023-07-26,"manoukian, bread, lavash, bakery, armenian, belmont, store, armenia, brings, house, community, place, local, staple",https://armenianweekly.com/2023/07/26/house-of-lavash-brings-an-armenian-staple-to-belmont/,Alexandra,female
Mary Basmadjian & Ant!c leave audience in tears from laughter,Shoghere Ourlian,2023-06-28,"stage, leave, mary, audience, comedy, antc, detroit, armenian, performance, humor, basmadjian, laughter, tears, hamazkayin",https://armenianweekly.com/2023/06/28/mary-basmadjian-antc-leave-audience-in-tears-from-laughter/,Shoghere,female
A New Beginning,Tamar Kassarjian,2023-06-28,"chapter, turkish, speaking, beginning, agoump, visiting, armenian, member, members, community, organizations",https://armenianweekly.com/2023/06/28/a-new-beginning/,Tamar,female
"“Ara Oshagan: Disrupted, Borders” connects with an appreciative audience at opening reception",Vani Hanamirian,2023-06-15,"disrupted, opening, appreciative, exhibit, different, audience, shushi, memory, spoke, armenian, really, reception, ara, beirut, connects, oshagan, borders, gallery",https://armenianweekly.com/2023/06/15/ara-oshagan-disrupted-borders-connects-with-an-appreciative-audience-at-opening-reception/,Vani,female
Celebrating decades of dedication to Armenian education,Alexandra O'Neil,2023-06-15,"decades, dedication, celebrating, school, stephens, language, education, students, armenian, palandjian, role, boyamian, st",https://armenianweekly.com/2023/06/15/celebrating-decades-of-dedication-to-armenian-education/,Alexandra,female
Armenian Genocide Education in Michigan: From Law to Curriculum to Training,Ani Boghikian Kasparian,2023-05-24,"michigan, education, public, curriculum, armenian, state, standards, training, agec, community, genocide, law",https://armenianweekly.com/2023/05/24/armenian-genocide-education-in-michigan-from-law-to-curriculum-to-training/,Ani,female
Preserving Armenian Language and Culture at Watertown High School,Pauline Getzoyan,2023-05-17,"school, high, tamakian, wall, language, students, armenian, culture, preserving, fame, watertown, teacher",https://armenianweekly.com/2023/05/17/preserving-armenian-language-and-culture-at-watertown-high-school/,Pauline,female
St. Illuminator’s hosts Emma Grigoryan art exhibition,Tamar Lakissian,2023-04-26,"emma, illuminators, exhibition, yerevan, paintings, york, hosts, art, grigoryan, armenia, works, reception, st",https://armenianweekly.com/2023/04/26/st-illuminators-hosts-emma-grigoryan-art-exhibition/,Tamar,female
Whitinsville breaks ground for new Armenian Heritage Monument,Victoria Atamian Waterman,2023-04-24,"whitinsville, pillars, survived, rev, state, armenian, heritage, represent, life, ground, monument, fr, breaks",https://armenianweekly.com/2023/04/24/whitinsville-breaks-ground-for-new-armenian-heritage-monument/,Victoria,female
"AHARI hosts Dr. Khatchig Mouradian, a story of resistance and revival",Pauline Getzoyan,2023-04-19,"revival, mouradian, deportees, armenian, book, thousands, ahari, committees, khatchig, hosts, efforts, genocide, dr, resistance",https://armenianweekly.com/2023/04/19/ahari-hosts-dr-khatchig-mouradian-a-story-of-resistance-and-revival/,Pauline,female
Armenian Museum of America leaves a lasting impact on Waltham High School students,Pauline Getzoyan,2023-04-19,"school, high, weekly, vandegrift, students, armenian, history, museum, experience, america, impact, culture, waltham, genocide, leaves, lasting",https://armenianweekly.com/2023/04/19/armenian-museum-of-america-leaves-a-lasting-impact-on-waltham-high-school-students/,Pauline,female
“Margarita’s Garden” opens at Watertown Public Library,Pauline Getzoyan,2023-03-07,"work, paint, library, avetian, family, opens, public, garden, age, matevosian, art, margaritas, watertown, young, painting",https://armenianweekly.com/2023/03/07/margaritas-garden-opens-at-watertown-public-library/,Pauline,female
Dr. Khatchig Mouradian inspires multiple audiences at NAASR,Pauline Getzoyan,2022-12-21,"multiple, inspires, ottoman, books, maps, naasr, mouradian, presentation, armenian, book, khatchig, audiences, studies, dr",https://armenianweekly.com/2022/12/21/dr-khatchig-mouradian-inspires-multiple-audiences-at-naasr/,Pauline,female
Providence Homenetmen raises funds for wounded soldiers,Pauline Getzoyan,2022-11-21,"homenetmen, slideshow, evening, providence, sts, table, armenian, funds, raises, scouts, soldiers, vartanantz, wounded",https://armenianweekly.com/2022/11/21/providence-homenetmen-raises-funds-for-wounded-soldiers/,Pauline,female
Providence Hamazkayin presents Susie Chakmakian “Telling Armenian Stories”,Pauline Getzoyan,2022-11-17,"providence, ctc, audience, play, chakmakian, presents, armenian, performance, history, susie, audiences, things, hamazkayin, telling",https://armenianweekly.com/2022/11/17/providence-hamazkayin-presents-susie-chakmakian-telling-armenian-stories/,Pauline,female
David Tikoian elected a State Senator of Rhode Island,Pauline Getzoyan,2022-11-09,"help, tikoian, smithfield, voted, state, town, senator, elected, tax, david, island, district, rhode",https://armenianweekly.com/2022/11/09/david-tikoian-elected-a-state-senator-of-rhode-island/,Pauline,female
Armenian Radio Hour of Rhode Island celebrates 75 years,Pauline Getzoyan,2022-11-08,"weekly, wrib, armenian, 75, broadcast, radio, community, island, church, center, hour, rhode, taraian, celebrates",https://armenianweekly.com/2022/11/08/rhode-islands-armenian-radio-hour-celebrates-75-years/,Pauline,female
"FSU grad Nyrie Iskandarian publishes children’s book, Maya’s Shot",Leeza Arakelian,2022-07-26,"grad, writing, love, media, shot, iskandarian, old, book, working, publishes, nyrie, young, father, fsu, childrens, mayas",https://armenianweekly.com/2022/07/26/fsu-grad-nyrie-iskandarian-publishes-childrens-book-mayas-shot/,Leeza,female
Armenian Memorial Church bids farewell to longtime minister,Leeza Arakelian,2022-06-29,"loved, longtime, farewell, gods, boynerian, family, armenian, members, reverend, church, bids, memorial, minister, community",https://armenianweekly.com/2022/06/29/armenian-memorial-church-bids-farewell-to-longtime-minister/,Leeza,female
St. Stephen’s Armenian Elementary School’s graduating class returns to Armenia,Heather Krafian,2022-06-22,"took, hotel, stephens, graduating, room, returns, class, armenian, saw, schools, reporter, armenia, trip, elementary, went, st",https://armenianweekly.com/2022/06/22/st-stephens-armenian-elementary-schools-graduating-class-returns-to-armenia/,Heather,female
Chris Bohjalian and Stephen Kurkjian: Esteemed Writers in Conversation,Pauline Getzoyan,2022-05-23,"writers, bohjalian, writing, kurkjian, stephen, books, chris, conversation, museum, voice, boston, times, esteemed, lioness, 2020",https://armenianweekly.com/2022/05/23/chris-bohjalian-and-stephen-kurkjian-esteemed-writers-in-conversation/,Pauline,female
A Parlor Poetry Reading with Peter Balakian,Pauline Getzoyan,2022-05-18,"read, reading, won, sign, book, peter, history, poetry, imagination, parlor, york, times, poem, balakian",https://armenianweekly.com/2022/05/18/a-parlor-poetry-reading-with-peter-balakian/,Pauline,female
Merrimack Valley ANC leads Armenian flag raisings,Muriel Parseghian,2022-05-11,"ceremonies, valley, raisings, commemorate, town, towns, cochair, armenian, mvanc, participated, flag, raising, lowell, merrimack, anc, leads",https://armenianweekly.com/2022/05/11/merrimack-valley-anc-leads-armenian-flag-raisings/,Muriel,female
"AYF DC hosts “Non-Negotiable,” a panel discussion exploring the ramification of today’s Turkey-Armenia talks",Alina Yousefian,2022-04-27,"discussion, nonnegotiable, panel, tchaghlasian, question, dc, going, armenian, normalization, turkeyarmenia, hosts, exploring, armenia, ramification, turkey, talks, ayf, todays",https://armenianweekly.com/2022/04/27/ayf-dc-hosts-non-negotiable-a-panel-discussion-exploring-the-ramification-of-todays-turkey-armenia-talks/,Alina,female
AYF Boston Chapter demands justice for the Genocide after 107 years,Leeza Arakelian,2022-04-23,"chapter, nejdeh, justice, ayf, armenian, demands, 107, boston, member, marching, greater, genocide, know",https://armenianweekly.com/2022/04/23/ayf-boston-chapter-demands-justice-for-the-genocide-after-107-years/,Leeza,female
AYF NJ “Arsen” Chapter hosts Armenian flag raising ceremony,Nairi Diratsouian,2022-04-19,"chapter, arsen, ceremony, armenian, jersey, members, singing, flag, nj, hosts, raising, lee, fort, youth, genocide, ayf",https://armenianweekly.com/2022/04/19/ayf-nj-arsen-chapter-hosts-armenian-flag-raising-ceremony/,Nairi,female
Remembering Massachusetts State Police Trooper Tamar Anoush Bucci,Leeza Arakelian,2022-04-04,"remembering, vosbigian, cousin, knew, tamar, massachusetts, family, state, armenian, bucci, went, trooper, anoush",https://armenianweekly.com/2022/04/04/remembering-massachusetts-state-trooper-tamar-anoush-bucci/,Leeza,female
"Detroit’s Friends of Artsakh, ACAA Artsakh Fund renovate home of Artsakh fallen hero",Dzovinar Hatsakordzian,2022-02-28,"slideshow, renovate, fund, requires, detroits, hero, fallen, soghomonyan, friends, village, commander, house, war, soghomonyans, artsakh, acaa",https://armenianweekly.com/2022/02/28/detroits-friends-of-artsakh-acaa-artsakh-fund-renovate-home-of-artsakh-fallen-hero/,Dzovinar,female
“The school gave me a voice”: Holy Martyrs Armenian Day School serves Armenians of New York,Lillian Avedian,2022-01-19,"serves, school, tavitianmegherian, gave, language, education, students, armenians, armenian, heritage, holy, york, voice, day, martyrs",https://armenianweekly.com/2022/01/19/the-school-gave-me-a-voice-holy-martyrs-armenian-day-school-serves-armenians-of-new-york/,Lillian,female
"Waltham resident, Armenian American veteran turns 100",Leeza Arakelian,2022-01-12,"100, massachusetts, american, war, armenian, veteran, long, theres, turns, resident, armenia, waltham, watertown, small, keshishian, passed, country",https://armenianweekly.com/2022/01/12/waltham-resident-armenian-american-veteran-turns-100/,Leeza,female
"Change Lives, Change the World raises money for needy families, breast cancer research",Tamar Lakissian,2021-11-19,"der, illuminators, research, st, lives, world, change, talented, families, mesrob, needy, money, raises, presented, indzhigulyan, zaslavsky, breast, young, place, cancer",https://armenianweekly.com/2021/11/19/change-lives-change-the-world-raises-money-for-needy-families-breast-cancer-research/,Tamar,female
"Artsakh State Minister shares vision, life of service with Boston’s Armenian community",Leeza Arakelian,2021-11-08,"work, artsakh, service, united, beglaryan, shares, state, war, armenian, vision, homeland, life, bostons, stronger, boston, minister, community",https://armenianweekly.com/2021/11/08/artsakh-state-minister-shares-vision-life-of-service-with-bostons-armenian-community/,Leeza,female
New Jersey minister goes the distance for Belmont’s First Armenian Church,Leeza Arakelian,2021-09-15,"service, goes, rev, youmshakian, distance, armenian, jersey, life, belmonts, church, minister, community, god, evangelical",https://armenianweekly.com/2021/09/15/new-jersey-minister-goes-the-distance-for-belmonts-first-armenian-church/,Leeza,female
Dispatches from Lebanon: Der Mesrob’s Sojourn Home,Tamar Lakissian,2021-09-02,"der, visited, mesrob, lebanon, illuminators, hayr, visit, armenian, sojourn, summer, dispatches, mesrobs, st",https://armenianweekly.com/2021/09/02/dispatches-from-lebanon-der-mesrobs-sojourn-home/,Tamar,female
"St. Illuminator’s donates to Bird’s Nest Orphanage, Zarehian Theological Seminary, families in Lebanon",Tamar Lakissian,2021-08-27,"theological, donates, eastern, families, der, nest, mesrob, moushegh, lebanon, illuminators, seminary, armenian, prelacy, holy, orphanage, pastor, zarehian, st",https://armenianweekly.com/2021/08/27/st-illuminators-donates-to-birds-nest-orphanage-zarehian-theological-seminary-families-in-lebanon/,Tamar,female
Baby Garen’s New Kidney,Pauline Getzoyan,2021-08-25,"donor, garens, baby, family, hospital, week, gift, kidney, garen, church, help",https://armenianweekly.com/2021/08/25/baby-garens-new-kidney/,Pauline,female
"Hamazkayin hosts Petag, a Western Armenian immersion camp",Shoghere Ourlian,2021-08-25,"petag, workshop, joined, participants, children, armenian, virtual, weeks, camp, hosts, learn, hamazkayin, western, immersion",https://armenianweekly.com/2021/08/25/hamazkayin-hosts-petag-a-western-armenian-immersion-camp/,Shoghere,female
Armenian community of Michigan protests visit by Turkish Ambassador to the United States,Araxie Tossounian,2021-07-30,"turkish, protests, united, michigan, club, protest, visit, states, armenian, turkeys, ambassador, community, local, country",https://armenianweekly.com/2021/07/30/armenian-community-of-michigan-protest-visit-by-turkish-ambassador-to-the-united-states/,Araxie,female
The search continues for Baby Garen’s kidney donor,Pauline Getzoyan,2021-07-27,"donor, yepremian, evening, garens, service, dinner, elmasian, baby, family, sebouh, kidney, continues, garen, church, search, community",https://armenianweekly.com/2021/07/27/the-search-continues-for-baby-garens-kidney-donor/,Pauline,female
"Weekly contributor, Burlington native competing for title of Miss Massachusetts",Leeza Arakelian,2021-07-14,"contributor, weekly, miss, massachusetts, ayanian, support, scholarship, title, armenian, competing, competition, america, young, burlington, native, worcester",https://armenianweekly.com/2021/07/14/weekly-contributor-burlington-native-competing-for-title-of-miss-massachusetts/,Leeza,female
AYF Camp Haiastan coloring books now for sale,Arev Dinkjian,2021-06-23,"coloring, dinkjian, sale, books, shipping, campers, family, book, camp, young, ayf, haiastan",https://armenianweekly.com/2021/06/23/ayf-camp-haiastan-coloring-books-now-for-sale/,Arev,female
"ANCA, ARF representatives discuss the road ahead with New York community",Talin Markarian,2021-06-17,"discuss, ahead, stressed, artsakh, united, anca, rev, armenian, road, york, arf, armenia, aghjayan, fr, community, genocide, representatives, generation",https://armenianweekly.com/2021/06/17/anca-arf-representatives-discuss-the-road-ahead-with-new-york-community/,Talin,female
The Armenians of Whitinsville Project,Pauline Getzoyan,2021-06-16,"work, came, zeitoon, refugees, whitinsville, photographs, armenians, armenian, marash, project",https://armenianweekly.com/2021/06/16/the-armenians-of-whitinsville-project/,Pauline,female
“Armenia Alliance” leader Robert Kocharyan holds town hall with Diasporans,Pauline Getzoyan,2021-06-16,"kocharyan, homelanddiaspora, alliance, town, diasporans, relations, participated, leader, hall, armenia, meeting, investment, robert, political, holds",https://armenianweekly.com/2021/06/16/armenia-alliance-leader-robert-kocharyan-holds-town-hall-with-diasporans/,Pauline,female
Local silent protest demands freedom for hundreds of Armenian POWs,Leeza Arakelian,2021-05-25,"free, world, freedom, hundreds, armenian, global, demands, zoravik, pows, rights, war, azerbaijan, silent, protest, local",https://armenianweekly.com/2021/05/25/local-silent-protest-demands-freedom-for-hundreds-of-armenian-pows/,Leeza,female
"Anoush Koon, Pari Yeraz: The Next Children’s Book for Your Armenian Library",Taline Badrikian,2021-05-05,"reading, books, library, love, children, book, yeraz, armenian, night, koon, pari, childrens, anoush",https://armenianweekly.com/2021/05/05/anoush-koon-pari-yeraz-the-next-childrens-book-for-your-armenian-library/,Taline,female
"Boston’s Armenians honor martyrs, celebrate President Biden’s recognition of the Armenian Genocide",Kristina Ayanian,2021-04-25,"bidens, recognition, celebrate, world, najarian, armenians, honor, president, armenian, bostons, boston, armenia, martyrs, today, artsakh, genocide",https://armenianweekly.com/2021/04/25/bostons-armenians-honor-martyrs-celebrate-president-bidens-recognition-of-the-armenian-genocide/,Kristina,female
A commitment to human rights inspires an event remembering the Armenian Genocide,Pauline Getzoyan,2021-04-21,"remembering, inspires, including, sawyer, event, commitment, human, armenian, berdos, importance, rights, community, genocide, balakian, attleboro",https://armenianweekly.com/2021/04/21/a-commitment-to-human-rights-inspires-an-event-remembering-the-armenian-genocide/,Pauline,female
"ANCA-ER, GenEd connect the 2020 Artsakh War and the Armenian Genocide",Pauline Getzoyan,2021-03-17,"cohan, gened, azerbaijan, family, ancaer, armenians, armenian, connect, turkey, war, artsakh, genocide, 2020",https://armenianweekly.com/2021/03/17/anca-er-gened-connect-the-2020-artsakh-war-and-the-armenian-genocide/,Pauline,female
